prb_id,asn_v4,city
11760,6057,C
11765,701,Allegheny County
11768,3215,Finistère
11790,12322,Tarn-et-Garonne
11795,11426,Wake County
11802,786,Swansea
11803,199181,Provincia di Salerno
11807,60377,Dorset
11809,16086,Helsingfors
11815,3209,Hamburg
11828,12322,Ardennes
11842,7018,San Mateo County
11873,3215,Charente-Maritime
11874,15836,Chișinău
52653,40788,Middlesex County
11877,57329,Città metropolitana di Roma Capitale
11880,44084,Provincia di Cuneo
11903,34087,Steinkjer
11917,33915,Maastricht
11948,57269,Madrid
11950,12322,Hérault
11983,207645,Buckinghamshire
11990,58243,Berlin
11992,12389,Gorod Krasnodar
11999,51809,Greater Manchester
12012,7922,Burlington County
12014,15557,Isère
12015,41090,Rhône
12018,41090,Drôme
12053,201773,West Midlands
12060,7922,Kane County
12061,57370,Genève
24846,6730,Gros-de-Vaud District
12076,2611,West-Vlaanderen
12082,41090,Loire
12087,50266,Utrecht
12093,16796,Winnipeg
12108,7018,Dallas County
12120,137,Provincia di Ferrara
12121,19108,Nevada County
12124,577,Regional Municipality of Durham
12137,29124,Kotel'niki
12142,3215,Gironde
12144,7922,Bartow County
12151,9031,West-Vlaanderen
12153,12479,Madrid
12159,4474,Park County
12160,6057,B
12161,2707,Medina County
12162,2860,Loures
12165,2119,Bamble
12173,13030,Glarus
12174,25460,Greater Manchester
12180,7922,Davidson County
12199,55391,Chiba
12203,41095,Hong Kong Island
12205,3741,City of Johannesburg Metropolitan Municipality
12214,41095,New Territories
12219,62416,Lisboa
12226,7018,Santa Cruz County
12234,6871,Scottish Borders
12280,8612,Città metropolitana di Roma Capitale
12291,49866,Helsinki
12303,5650,Montgomery County
12308,198060,Deux-Sèvres
12315,33363,Hernando County
12319,201290,Ermelo
12320,7018,Alachua County
12321,5432,Limburg
12334,11351,York County
30294,13037,England
12363,7545,North Sydney Council
12364,12479,Barcelona
12375,201454,Sandnes
12378,20712,Oxfordshire
12383,395611,Winnipeg
12392,3215,Seine-et-Marne
12402,40098,Washington County
12410,4764,City of Banyule
12418,4764,Sunshine Coast Regional
12430,15796,Höfe
12438,3215,Saône-et-Loire
12441,9464,Hat Yai District
12443,7018,Chatham County
12444,786,England
12451,205617,Apeldoorn
12456,29695,Vestfold og Telemark
12461,199283,Greater London
12465,3741,City of Cape Town Metropolitan Municipality
12475,7029,Washington County
12504,7922,Arapahoe County
12506,16668,Loudoun County
12538,7922,Barnstable County
12563,6128,Sussex County
12566,812,Toronto
12576,35362,Borodyans'kyi district
12578,217,Hennepin County
12581,7922,Chittenden County
12583,201701,Detmold
12588,7922,Boulder County
12602,48217,Kyiv City
12626,49588,Donets'ka oblast
12648,44750,Kharkivs'ka oblast
12652,20055,King County
12660,48756,Kyiv City
12681,209,King County
12686,7922,Dutchess County
12692,10796,Licking County
12710,46375,Santa Cruz County
12721,7922,Clackamas County
12739,395685,Tompkins County
12756,11404,San Mateo County
12760,12322,Haute-Savoie
12768,5650,Dallas County
24645,33915,Sittard-Geleen
12782,4713,Tokyo
12802,701,Prince William County
12808,10881,Curitiba
12809,13319,Ottawa
12821,3215,Moselle
12823,206420,Prague-West District
12830,204334,Hallands län
12832,25229,Kyiv City
12839,50392,Rivnens'ka oblast
12855,59414,Brugg
12857,8587,Government of Amsterdam
12873,3216,Samara
12874,42189,Hlavní město Praha
12876,2116,Lillestrøm
12878,202945,Mayenne
12884,57269,Valladolid
31947,6730,Zürich
12895,577,Montréal
12902,16086,Åbo
12904,1887,Warszawa
12920,267,Washtenaw County
12935,6805,Darmstadt
12956,37457,City of Tshwane Metropolitan Municipality
12967,4788,Selangor
12968,37611,City of Cape Town Metropolitan Municipality
53367,34779,Ljubljana
12984,7018,Marin County
12985,7545,Australian Capital Territory
13002,8881,Münster
13008,2602,Kanton Iechternach
13015,4788,Federal Territory of Kuala Lumpur
13022,4788,Melaka
13034,35584,Municipiul București
13056,7922,San Francisco County
13062,8468,Bridgend County Borough
13077,8468,Wales
13086,8881,Mittelfranken
13104,9790,Canterbury
13146,36692,Hudson County
13159,7922,Strafford County
13210,35600,Val-de-Marne
13227,2514,Fuwa District
13229,17676,Hiroshima
13230,12322,Aube
13267,15987,Düsseldorf
13271,49604,Harju maakond
13283,3356,Collin County
13288,11776,Grafton County
13291,12302,Municipiul București
13307,199636,Nord
13308,15480,Sittard-Geleen
13311,701,Harford County
13315,33823,Municipiul București
13318,7922,Baltimore County
13321,48478,Moskva
13330,397168,Ottawa
13358,206238,Leiden
13387,51896,Reykjavíkurborg
13397,22773,East Baton Rouge Parish
13410,13188,Kharkivs'ka oblast
13411,30889,Seine-Saint-Denis
13414,13037,Southampton
13420,5607,England
13430,198726,Düsseldorf
13432,1136,Haarlem
13434,20712,Herefordshire
13435,13037,Northamptonshire
13441,13285,Suffolk
13444,13030,Bremgarten District
13467,12322,Maine-et-Loire
54554,16347,Département de Paris
13476,206238,Zoeterwoude
13477,680,Niedersachsen
13490,48926,Hlavní město Praha
13492,21040,Sankt Gallen
13496,1136,Heumen
13497,3215,Val-de-Marne
13499,6181,Hamilton County
13521,36692,Haarlemmermeer
6025,8839,Bas-Rhin
6042,1120,Wien
6043,513,Geneva
6053,10474,City of Johannesburg Metropolitan Municipality
6054,28000,C
6072,7922,Chester County
6082,198260,Amsterdam
6087,43996,Berkshire
6088,43996,Amsterdam
6092,14907,Loudoun County
6094,16004,Città Metropolitana di Milano
6101,53824,Maricopa County
6120,42473,Klagenfurt am Wörthersee
6167,263779,San José
6213,12676,Düsseldorf
6224,327844,Ilala
6232,42961,Al Asimah Governate
6235,24796,Città metropolitana di Roma Capitale
6239,12731,Hamburg
26380,14593,Finistère
26383,5410,Sarthe
26385,197029,Praha-západ
26444,15435,Heumen
26458,197078,Gorod Yaroslavl'
26463,7922,Douglas County
26465,8339,Mödling
26514,1136,Wijchen
26580,51892,Moskva
26581,206238,Berkelland
26587,1136,Leiden
26597,8468,Greater London
26600,57112,Noordoostpolder
26619,57269,Barcelona
26634,50163,Kladno
26656,29226,Moscow
26726,203568,Somerset
21292,3215,Ain
26738,1741,Oulu
26754,3215,Nord
26756,15557,Alpes-Maritimes
26797,3303,Thun District
26799,15600,Emmental District
26806,1680,Petach Tikva
26823,4685,Okayama
26834,18822,Marga Marga
26849,1136,Dronten
26904,2119,Rauma
26943,12392,Hainaut
26996,28685,Midden-Delfland
27020,6079,Middlesex County
27091,61102,Petach Tikva
27102,2860,Aveiro
27116,8758,Schaffhausen District
27119,1680,Center District
27130,4685,Tokyo
27131,17518,Nagano
27214,7018,Harris County
27245,7018,Stanislaus County
27256,13036,Brno-město
27265,203201,Provincia di Pavia
61400,60522,Düsseldorf
27381,6855,Bratislava II
27391,24608,Provincia di Ancona
27478,51509,Upravna enota Maribor
27538,61468,Distrito Metropolitano de Quito
27667,10796,Outagamie County
27722,2200,Aube
27724,23719,City of Sydney
27746,6677,Kópavogsbær
27774,208789,Département de Paris
27793,3209,Bremen
27797,1221,New South Wales
27804,204232,Sofia City Province
27857,3303,Horgen
27867,3269,Provincia di Rovigo
52118,22773,Benton County
1006395,1221,Eurobodalla Shire Council
1006399,43581,Moskva
1006400,5391,Općina Strahoninec
61501,21928,Middlesex County
1006410,20473,Département de Paris
1006411,33566,Knox County
1006426,38466,Selangor
1006427,5410,Indre-et-Loire
6245,21412,Vilniaus apskritis
6246,25291,Berlin
6248,6667,Helsinki
6250,8560,Karlsruhe
6254,3257,Amsterdam
6264,15133,King County
6266,15133,Miami-Dade County
6267,49784,Veendam
6268,34288,Zürich
6272,206549,Upper Bavaria
6287,33362,Kittson County
6289,15133,Loudoun County
6295,42409,Tiranë
6298,15133,São Paulo
6307,3333,Amsterdam
6313,203329,Darmstadt
6316,12779,Città Metropolitana di Torino
6317,559,Zürich
6320,198985,Gironde
6323,206186,Katowice
6324,25406,Šiaulių apskritis
6325,48943,Wien
6328,62416,Loures
6329,42473,Metropolitan City of Milan
6330,203296,Helsinki
6331,6724,Berlin
6332,24940,Mittelfranken
6333,20766,Département de Paris
6334,1853,Wien
6336,2857,Rheinland-Pfalz
6338,42473,Moskva
6342,203993,Apeldoorn
6346,680,Sachsen-Anhalt
6350,39351,Skåne län
6352,13041,Barcelona
6357,39138,Arnsberg
6363,29169,Seine-Saint-Denis
6364,265721,Sosua
6366,8670,Kanton Sarajevo
6367,15133,Tokyo
6368,39138,Düsseldorf
6372,680,Oberbayern
6374,43350,Rotterdam
6379,36236,Durham County
6380,30997,Ayawaso East Municipal
6382,5607,Berkshire
6384,52039,Ille-et-Vilaine
6385,21473,Karlsruhe
6387,21473,Rhineland-Palatinate
6388,17054,Allegheny County
6389,36444,Oakland County
6390,20612,Bülach
6392,42473,Dubai
6393,264811,Princes Town Regional Corporation
6396,5539,Oberbayern
6400,202196,Amsterdam
6402,31287,Sofia City Province
6407,55002,King County
6408,36236,Maricopa County
6410,22548,São Paulo
6411,55002,Santa Clara County
6413,34549,Darmstadt
6414,3236,Mykolaivs'ka oblast
6417,48112,Municipiul București
6418,17054,Hamilton County
6420,42473,Estado de México
6423,41000,Greater Manchester
6424,50178,Provincia autonoma di Bolzano - Alto Adige
51663,2497,Tokyo
6427,9268,City of Sydney
6428,32425,Hanover County
6429,48292,Ataşehir
6431,50999,Jeddah
6432,34878,Karlsruhe
6433,206479,Darmstadt
6435,35574,Città Metropolitana di Milano
6438,51859,Grad Beograd
6439,55002,Darmstadt
6441,60396,Skåne län
6445,61174,Uster
6446,36236,Greater London
6447,35065,Sachsen
6450,35574,Città metropolitana di Roma Capitale
6451,55002,Berkshire
6453,60149,Municipiu Iaşi
6475,60149,Municipiu Timişoara
6476,48362,Feldkirch
6485,64112,Santiago
6490,559,Neuchâtel
6493,852,Metro Vancouver
6496,59715,Provincia di Ascoli Piceno
6498,852,Montréal
6501,196745,Dorset
6504,8893,Hamburg
6505,16010,Tbilisi
6507,48821,Düsseldorf
6509,31034,Provincia di Arezzo
6510,43289,Chișinău
6512,28792,Oxfordshire
6514,24586,Rotterdam
6515,201126,Surrey
6517,917,Loudoun County
6518,206610,Esch-sur-Alzette
6519,41495,Greater Manchester
6522,1403,Montérégie
6523,206291,Arlesheim
6524,55002,Loudoun County
6526,29114,Gorod Ivanovo
6533,2613,Lausanne
6534,200462,Darmstadt
6535,209915,Düsseldorf
6536,200675,Norrbottens län
6538,49673,Gorod Novosibirsk
6541,42207,Ljubljana
6543,58057,Brugg
6547,202297,Hlavní město Praha
6548,12374,Stuttgart
6549,15133,New York County
6552,201971,Lincolnshire
6558,25220,Darmstadt
6559,199188,Berkshire
6560,205678,Bülach
6565,63056,Vermilion County
6567,1140,Arnhem
6569,42473,Ekurhuleni Metropolitan Municipality
6571,200129,Esch-sur-Alzette
6574,40809,Hudson County
6576,60316,Düsseldorf
6577,28725,Hlavní město Praha
6580,63834,Tokyo
6583,20764,Moskva
6585,36236,Loudoun County
6588,10886,Fairfax County
6589,58057,Düsseldorf
6590,199610,Miami-Dade County
6600,42263,Darmstadt
6601,58057,Darmstadt
6602,36236,Santana de Parnaíba
6603,197357,Municipiul București
